committee_name,donor_name,amount,date,candidate_name,race_name
Protect Arizona Values PAC,Southwest AgriFund,130982.04,2020-08-01,Jacob Brown,US House District 2
Neighbors for Better Government,Gila River Foundation,140160.46,2025-10-14,Logan Robinson,Secretary of State
Clean Government Project,Sunrise Ventures LLC,41100.5,2025-10-03,Noah Davis,State Senate District 5
Protect Arizona Values PAC,Southwest AgriFund,122551.31,2023-12-02,Noah Wilson,State House District 7
Bold Arizona Voices,Copper Ridge Holdings,75425.57,2022-08-23,Liam Jackson,State House District 7
Desert Shores Coalition,Sunrise Ventures LLC,47973.06,2021-02-09,Mason Smith,State Senate District 12
Clean Government Project,Desert Orchard LLC,20855.54,2023-03-21,Mia Brown,Phoenix City Council District 4
Bold Arizona Voices,Southwest AgriFund,113886.46,2025-04-05,Emily Brown,State House District 20
Keep AZ Moving Committee,Blue Sky Developers,38574.61,2021-09-04,Noah Smith,Governor
Arizona Future Coalition,Desert Orchard LLC,16900.23,2023-03-26,Harper White,Pima County Board District 3
Sunrise Civic Action Fund,Canyon Ridge Investments,63118.88,2025-02-15,Liam Wilson,US Senate
Arizona Families First,Sunrise Ventures LLC,80524.05,2025-10-11,James Rodriguez,Secretary of State
Vote Integrity Fund,Desert Tech Partners,64528.52,2023-12-16,Olivia Taylor,Tucson City Council District 1
Sunrise Civic Action Fund,Blue Sky Developers,100315.18,2025-11-14,Elijah Lee,State House District 7
Valley Voters Alliance,Sunrise Ventures LLC,118015.25,2025-09-10,Benjamin Thompson,Maricopa County Supervisor District 2
Arizona Future Coalition,Copper Ridge Holdings,95441.7,2024-03-09,James Johnson,State House District 7
Grand Canyon Progress PAC,Desert Orchard LLC,51884.17,2021-02-28,Logan Martinez,Governor
Arizona Workers Alliance,Blue Sky Developers,20228.09,2023-12-14,Ella Thomas,Tucson City Council District 1
Arizona Future Coalition,Mesa Community Trust,124599.95,2025-03-18,Abigail Davis,Secretary of State
Desert Sunrise Action,Gila River Foundation,9699.31,2025-02-17,Elijah Brown,Phoenix City Council District 4
Citizens for Fair Elections,Canyon Ridge Investments,132897.11,2023-07-16,Liam Miller,US House District 2
Bold Arizona Voices,Canyon Ridge Investments,71141.62,2020-05-29,Amelia Robinson,Maricopa County Supervisor District 2
Arizona Workers Alliance,Red Rock Philanthropy,129355.24,2020-07-14,Lucas Moore,US House District 2
Clean Government Project,Red Rock Philanthropy,119951.53,2024-11-24,Isabella Garcia,State Senate District 12
Bold Arizona Voices,Pioneer Energy Group,51020.74,2022-02-04,Charlotte Jackson,Tucson City Council District 1
Keep AZ Moving Committee,Desert Orchard LLC,40191.42,2020-12-04,Logan Thompson,State House District 20
Desert Sunrise Action,Pioneer Energy Group,149265.95,2022-01-09,Ethan Rodriguez,US Senate
Arizona Future Coalition,Canyon Ridge Investments,49356.01,2023-04-25,Emma Martinez,State Senate District 12
Grand Canyon Progress PAC,Gila River Foundation,25205.05,2024-12-23,Emily White,Pima County Board District 3
Valley Voters Alliance,Gila River Foundation,92324.01,2024-11-16,Daniel Moore,Governor
Grand Canyon Progress PAC,Red Rock Philanthropy,100759.79,2024-07-21,Liam Martinez,State Treasurer
Valley Voters Alliance,Saguaro Capital,24208.01,2020-05-07,Daniel Lee,State Treasurer
Protect Arizona Values PAC,Southwest AgriFund,5461.15,2020-10-02,Michael Harris,Pima County Board District 3
Sunrise Civic Action Fund,Frontier Manufacturing Co.,57582.45,2020-05-12,Logan Moore,Phoenix City Council District 4
Vote Integrity Fund,Valley Healthcare Group,55959.0,2020-11-10,Charlotte Moore,Phoenix City Council District 4
Vote Integrity Fund,Valley Healthcare Group,47329.22,2023-02-15,Logan Jackson,Maricopa County Supervisor District 2
Sunrise Civic Action Fund,Sunrise Ventures LLC,74981.83,2024-05-04,Daniel Davis,Governor
Bold Arizona Voices,Saguaro Capital,105679.66,2022-05-28,Isabella Anderson,US Senate
Vote Integrity Fund,Canyon Ridge Investments,18614.95,2020-10-30,James Miller,Tucson City Council District 1
Keep AZ Moving Committee,Valley Healthcare Group,149590.05,2023-08-02,Emily Harris,Attorney General
Neighbors for Better Government,Mesa Community Trust,81440.16,2023-05-13,Noah Robinson,Tucson City Council District 1
Clean Government Project,Valley Healthcare Group,95745.58,2024-01-20,Emily Walker,Tucson City Council District 1
Arizona Future Coalition,Desert Tech Partners,35701.24,2025-07-16,Sophia Brown,US Senate
Citizens for Fair Elections,Mesa Community Trust,70244.02,2021-06-15,Evelyn Moore,Maricopa County Supervisor District 2
Vote Integrity Fund,Horizon Media Group,59874.46,2025-05-14,Noah Taylor,US Senate
Arizona Future Coalition,Pioneer Energy Group,11294.17,2023-07-22,Ethan Clark,State Treasurer
Neighbors for Better Government,Sunrise Ventures LLC,77724.66,2021-06-09,Charlotte Lee,State House District 20
Bold Arizona Voices,Southwest AgriFund,88270.95,2021-06-12,Benjamin Lewis,State Treasurer
Desert Shores Coalition,Saguaro Capital,77835.79,2023-05-30,Liam Garcia,Attorney General
Protect Arizona Values PAC,Valley Healthcare Group,52066.96,2025-10-26,Emily Wilson,State Senate District 12
Bold Arizona Voices,Canyon Ridge Investments,29646.21,2023-01-29,Noah Anderson,Secretary of State
Protect Arizona Values PAC,Red Rock Philanthropy,14240.9,2021-11-21,Jacob Robinson,State Senate District 5
Vote Integrity Fund,Blue Sky Developers,93765.76,2023-10-14,Elijah Lee,US House District 1
Clean Government Project,Horizon Media Group,12413.12,2022-12-20,Liam Smith,Pima County Board District 3
Neighbors for Better Government,Desert Tech Partners,92811.74,2020-05-04,Evelyn White,State Treasurer
Keep AZ Moving Committee,Horizon Media Group,96375.62,2023-05-22,Benjamin Taylor,Phoenix City Council District 4
Keep AZ Moving Committee,Desert Tech Partners,44790.72,2020-10-25,Michael Jackson,State Treasurer
Desert Sunrise Action,Copper Ridge Holdings,72766.61,2022-04-15,Charlotte White,US House District 1
Valley Voters Alliance,Blue Sky Developers,48067.63,2023-11-15,Mia Walker,US House District 1
Desert Shores Coalition,Valley Healthcare Group,84357.27,2023-07-31,Logan Thompson,State Treasurer
Sunrise Civic Action Fund,Gila River Foundation,37375.85,2021-01-31,Isabella Harris,US Senate
Citizens for Fair Elections,Canyon Ridge Investments,37428.47,2021-10-16,Jacob White,State House District 7
Clean Government Project,Mesa Community Trust,47079.06,2021-10-14,Evelyn Hall,Attorney General
Keep AZ Moving Committee,Saguaro Capital,74731.2,2021-01-03,James Taylor,State House District 20
Desert Shores Coalition,Saguaro Capital,87605.78,2020-07-18,Mason Miller,State House District 20
Citizens for Fair Elections,Canyon Ridge Investments,100959.96,2023-03-16,Jacob Lewis,State House District 20
Arizona Future Coalition,Copper Ridge Holdings,20306.76,2022-12-19,Emma White,Secretary of State
Desert Sunrise Action,Mesa Community Trust,7025.05,2020-07-28,Amelia Moore,State Treasurer
Vote Integrity Fund,Saguaro Capital,43468.1,2024-05-01,Logan Robinson,US House District 2
Arizona Future Coalition,Gila River Foundation,123840.37,2021-05-01,Benjamin Anderson,State Treasurer
Protect Arizona Values PAC,Sunrise Ventures LLC,83785.32,2024-02-06,Logan Thomas,State House District 7
Arizona Workers Alliance,Valley Healthcare Group,60357.72,2020-06-13,Jacob Thompson,US House District 2
Citizens for Fair Elections,Copper Ridge Holdings,120643.89,2025-10-28,Emily Thomas,US House District 1
Keep AZ Moving Committee,Valley Healthcare Group,49362.89,2023-07-28,Harper Brown,Pima County Board District 3
Protect Arizona Values PAC,Pioneer Energy Group,89160.27,2025-09-08,Daniel Taylor,Pima County Board District 3
Clean Government Project,Saguaro Capital,84547.91,2025-04-29,James Walker,Maricopa County Supervisor District 2
Clean Government Project,Copper Ridge Holdings,16663.29,2024-09-02,Mia Lee,State Senate District 12
Vote Integrity Fund,Canyon Ridge Investments,94481.76,2025-04-27,Daniel Walker,State Treasurer
Grand Canyon Progress PAC,Red Rock Philanthropy,86750.75,2020-07-29,Ella Clark,State Treasurer
Vote Integrity Fund,Gila River Foundation,108247.13,2024-04-06,Harper Lewis,US House District 1
Protect Arizona Values PAC,Southwest AgriFund,85992.4,2021-03-26,Mason Johnson,Phoenix City Council District 4
Sunrise Civic Action Fund,Copper Ridge Holdings,22926.83,2022-04-15,Mia White,State House District 20
Desert Shores Coalition,Saguaro Capital,130954.45,2020-09-12,Jacob Martin,State Treasurer
Desert Sunrise Action,Valley Healthcare Group,48926.17,2025-05-13,Sophia Robinson,Maricopa County Supervisor District 2
Arizona Future Coalition,Pioneer Energy Group,136840.59,2023-11-03,Elijah Harris,State Senate District 12
Arizona Future Coalition,Mesa Community Trust,102191.7,2022-12-18,Ella Hall,Phoenix City Council District 4
Vote Integrity Fund,Gila River Foundation,83823.48,2022-07-10,Mason Anderson,US House District 2
Grand Canyon Progress PAC,Frontier Manufacturing Co.,103613.43,2025-06-25,Emily Miller,State Senate District 5
Valley Voters Alliance,Gila River Foundation,41200.27,2021-05-14,Benjamin Hall,State Senate District 12
Vote Integrity Fund,Red Rock Philanthropy,122802.02,2021-08-22,Amelia Jackson,Maricopa County Supervisor District 2
Grand Canyon Progress PAC,Copper Ridge Holdings,52117.94,2024-12-16,Emily Martinez,State Senate District 5
Neighbors for Better Government,Canyon Ridge Investments,30509.68,2023-01-15,James Miller,Tucson City Council District 1
Bold Arizona Voices,Saguaro Capital,16606.68,2022-09-07,Isabella Brown,Tucson City Council District 1
Sunrise Civic Action Fund,Copper Ridge Holdings,95782.2,2020-08-03,Harper Wilson,Phoenix City Council District 4
Arizona Families First,Pioneer Energy Group,15306.6,2021-07-17,Emily Martin,State Senate District 12
Citizens for Fair Elections,Saguaro Capital,98020.7,2025-05-02,Elijah White,Attorney General
Keep AZ Moving Committee,Red Rock Philanthropy,48344.86,2020-08-30,Ella Taylor,US House District 2
Bold Arizona Voices,Frontier Manufacturing Co.,35024.97,2020-06-01,Abigail Clark,US Senate
Bold Arizona Voices,Horizon Media Group,140104.91,2020-05-28,Ethan Davis,US House District 1
Clean Government Project,Pioneer Energy Group,140507.16,2023-03-31,James Davis,State Treasurer
Bold Arizona Voices,Copper Ridge Holdings,90516.75,2023-10-04,Lucas Clark,Governor
Grand Canyon Progress PAC,Gila River Foundation,74213.38,2021-07-03,Benjamin Thompson,Phoenix City Council District 4
Clean Government Project,Saguaro Capital,121369.88,2023-09-16,Isabella Miller,State House District 20
Protect Arizona Values PAC,Desert Orchard LLC,107860.08,2020-02-27,Abigail Anderson,State House District 20
Desert Sunrise Action,Mesa Community Trust,101241.57,2022-03-02,Lucas Clark,State Treasurer
Protect Arizona Values PAC,Blue Sky Developers,124091.73,2025-10-11,Abigail Jackson,Secretary of State
Valley Voters Alliance,Sunrise Ventures LLC,27920.98,2021-07-29,Michael Garcia,State House District 7
Keep AZ Moving Committee,Mesa Community Trust,39302.6,2022-08-22,Mason Smith,Attorney General
Keep AZ Moving Committee,Frontier Manufacturing Co.,87473.5,2020-02-16,Mia Taylor,State Senate District 5
Grand Canyon Progress PAC,Red Rock Philanthropy,9553.12,2021-04-29,Emily Wilson,State Senate District 12
Keep AZ Moving Committee,Canyon Ridge Investments,75502.44,2023-06-27,Amelia Lee,US House District 1
Desert Sunrise Action,Sunrise Ventures LLC,92290.16,2022-06-16,Lucas Moore,Phoenix City Council District 4
Protect Arizona Values PAC,Gila River Foundation,148328.48,2024-03-10,Charlotte Hall,US House District 1
Desert Shores Coalition,Desert Orchard LLC,120348.75,2022-06-13,James Robinson,Maricopa County Supervisor District 2
Arizona Workers Alliance,Desert Tech Partners,131001.98,2020-12-01,Ella Rodriguez,Phoenix City Council District 4
Arizona Future Coalition,Gila River Foundation,11945.88,2021-04-04,Emily Moore,Maricopa County Supervisor District 2
Citizens for Fair Elections,Southwest AgriFund,86012.08,2021-09-05,Harper Miller,Maricopa County Supervisor District 2
Protect Arizona Values PAC,Mesa Community Trust,17656.94,2022-04-21,Harper Harris,Secretary of State
Desert Sunrise Action,Blue Sky Developers,66961.03,2020-08-15,Noah Thompson,State House District 20
Keep AZ Moving Committee,Valley Healthcare Group,84695.7,2025-03-08,Ethan Harris,Maricopa County Supervisor District 2
Neighbors for Better Government,Frontier Manufacturing Co.,59543.32,2020-01-13,Daniel Smith,State Senate District 5
Desert Sunrise Action,Desert Tech Partners,63698.68,2020-09-18,Noah Johnson,Pima County Board District 3
Arizona Future Coalition,Copper Ridge Holdings,5002.3,2024-08-01,Noah Martin,Attorney General
Protect Arizona Values PAC,Frontier Manufacturing Co.,146755.41,2024-09-17,Ella Lewis,US House District 1
Valley Voters Alliance,Horizon Media Group,56502.92,2021-06-28,Charlotte Jackson,State House District 7
Neighbors for Better Government,Southwest AgriFund,148928.8,2024-05-28,Emma Davis,State Senate District 12
Arizona Future Coalition,Valley Healthcare Group,113487.87,2023-05-07,Mason Smith,Tucson City Council District 1
Keep AZ Moving Committee,Red Rock Philanthropy,79907.06,2022-07-29,Benjamin White,Tucson City Council District 1
Sunrise Civic Action Fund,Gila River Foundation,28474.95,2021-04-07,Olivia Anderson,State Senate District 12
Citizens for Fair Elections,Frontier Manufacturing Co.,114966.51,2020-03-05,Ethan Rodriguez,Phoenix City Council District 4
Sunrise Civic Action Fund,Desert Tech Partners,5278.05,2020-07-18,Emma Rodriguez,US Senate
Sunrise Civic Action Fund,Desert Orchard LLC,35342.31,2022-06-08,Amelia Harris,Governor
Arizona Workers Alliance,Southwest AgriFund,75708.4,2023-03-30,Liam Brown,State Treasurer
Sunrise Civic Action Fund,Southwest AgriFund,48005.83,2023-08-06,Daniel Clark,Attorney General
Sunrise Civic Action Fund,Canyon Ridge Investments,78307.35,2024-08-20,Olivia Lee,Attorney General
Grand Canyon Progress PAC,Canyon Ridge Investments,131987.16,2021-12-18,Benjamin Clark,Governor
Neighbors for Better Government,Red Rock Philanthropy,7270.89,2023-11-11,Benjamin Martin,State House District 7
Neighbors for Better Government,Red Rock Philanthropy,104522.18,2024-07-30,Harper Thomas,State House District 7
Protect Arizona Values PAC,Canyon Ridge Investments,71159.44,2022-07-12,Elijah Robinson,State House District 7
Grand Canyon Progress PAC,Southwest AgriFund,137232.49,2024-08-17,Olivia Harris,Tucson City Council District 1
Desert Shores Coalition,Saguaro Capital,36618.06,2022-04-12,Olivia Jackson,Maricopa County Supervisor District 2
Valley Voters Alliance,Red Rock Philanthropy,14096.48,2022-02-19,Charlotte Moore,US Senate
Citizens for Fair Elections,Canyon Ridge Investments,90537.58,2020-10-25,Michael Rodriguez,State House District 7
Sunrise Civic Action Fund,Frontier Manufacturing Co.,100799.72,2022-06-07,Evelyn Hall,State Treasurer
Keep AZ Moving Committee,Desert Tech Partners,143563.71,2020-03-03,Mia Taylor,Secretary of State
Sunrise Civic Action Fund,Horizon Media Group,112095.16,2025-05-15,Daniel Garcia,US House District 2
Bold Arizona Voices,Desert Tech Partners,30875.84,2022-09-07,Jacob Walker,Tucson City Council District 1
Arizona Future Coalition,Mesa Community Trust,70071.01,2024-01-11,Lucas Jackson,State Treasurer
Grand Canyon Progress PAC,Canyon Ridge Investments,70034.11,2025-04-07,Harper Martin,State Senate District 12
Arizona Workers Alliance,Southwest AgriFund,47110.07,2020-07-06,Sophia Moore,State Senate District 12
Vote Integrity Fund,Southwest AgriFund,2678.93,2024-09-06,Daniel Brown,US House District 2
Grand Canyon Progress PAC,Valley Healthcare Group,57131.01,2022-10-03,Mia Wilson,US House District 2
Keep AZ Moving Committee,Saguaro Capital,38784.68,2025-06-24,Michael Thomas,Phoenix City Council District 4
Desert Sunrise Action,Red Rock Philanthropy,25442.99,2023-12-13,James Harris,Tucson City Council District 1
Protect Arizona Values PAC,Valley Healthcare Group,27811.15,2020-08-28,Benjamin Martin,Tucson City Council District 1
Arizona Future Coalition,Copper Ridge Holdings,7515.03,2020-01-27,Noah Lee,Secretary of State
Desert Shores Coalition,Valley Healthcare Group,10428.2,2021-09-10,Abigail Wilson,Secretary of State
Citizens for Fair Elections,Desert Tech Partners,9302.41,2025-06-02,Charlotte Moore,Maricopa County Supervisor District 2
Neighbors for Better Government,Gila River Foundation,82858.62,2020-02-18,Ava Robinson,Governor
Citizens for Fair Elections,Saguaro Capital,146627.53,2020-03-11,Isabella Robinson,Tucson City Council District 1
Arizona Future Coalition,Southwest AgriFund,120973.61,2022-01-04,Michael White,Tucson City Council District 1
